user_name,package_name,event,days,star_user,fork_user,contributor_user,issue_new_user,issue_closed_user,pl_new_user,pl_closed_user,passby_user,release_user,size_user,star_package,fork_package,contributor_package,issue_new_package,issue_closed_package,pl_new_package,pl_closed_package,passby_package,release_package,size_package,total_change,perfective_change,corrective_change,features_change,nonfunctional_change,unknown_change,possible_vuln,cve
hiroaki-yamamoto/django-good-otp,django/django,True,7,1,0,1,0,0,16,18,0,0,15,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
mozilla/treeherder,django/django,False,389,7,4,17,0,0,50,47,6,0,589,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
sebatyler/Zappa,django/django,False,389,0,0,0,0,0,0,0,0,0,117,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
justo340/third_upload,django/django,False,389,0,0,0,0,0,0,0,0,0,10,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
CheckiO/checkio-client,django/django,False,389,0,0,0,0,0,0,0,0,0,24,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
odero/django-pesapal,django/django,False,389,0,0,0,0,0,0,0,0,0,19,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
saleem-latif/djangotheming,django/django,False,389,0,0,1,0,0,0,0,1,0,50,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
Miserlou/Zappa,django/django,False,389,56,9,17,4,1,0,1,16,0,32,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
osantana/quickstartup,django/django,False,389,1,0,0,0,0,0,0,0,0,13,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
nickromano/product-release-notes,django/django,True,81,0,0,1,0,0,12,9,0,0,10,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
wildfish/django-star-ratings,django/django,False,389,6,2,10,2,2,2,3,7,0,21,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
DataONEorg/d1_python,django/django,True,23,0,0,1,0,0,4,12,0,0,89,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
hartwork/jawanndenn,django/django,True,1,4,1,4,2,1,43,49,2,0,69,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
wplct/yzs-work,django/django,False,389,0,0,0,0,0,0,0,0,0,8,1717,874,205,0,0,254,267,144,0,71,975,212,507,249,5,2,26,9
abronte/PysparkGateway,pallets/flask,False,598,1,0,0,0,0,0,0,0,0,3,1851,415,152,106,99,112,113,140,3,74,437,40,38,202,142,15,2,0
freqtrade/freqtrade,pallets/flask,False,598,2150,626,338,330,345,235,235,267,5,92,1851,415,152,106,99,112,113,140,3,74,437,40,38,202,142,15,2,0
thoughteer/edera,pallets/flask,False,598,0,0,0,0,0,0,0,0,0,6,1851,415,152,106,99,112,113,140,3,74,437,40,38,202,142,15,2,0
mozilla/adr,pallets/flask,False,598,0,0,0,0,0,0,0,0,0,104,1851,415,152,106,99,112,113,140,3,74,437,40,38,202,142,15,2,0
barrelmaker97/friendbot,pallets/flask,True,0,0,0,3,0,0,13,14,2,0,7,1851,415,152,106,99,112,113,140,3,74,437,40,38,202,142,15,2,0
ENOWARS/enochecker,pallets/flask,False,598,0,0,0,0,0,0,0,0,0,9,1851,415,152,106,99,112,113,140,3,74,437,40,38,202,142,15,2,0
RockFeng0/flask_demo,pallets/flask,False,598,0,0,0,0,0,0,0,0,0,6,1851,415,152,106,99,112,113,140,3,74,437,40,38,202,142,15,2,0
