user_name,package_name,event,days,star_user,fork_user,contributor_user,issue_new_user,issue_closed_user,pl_new_user,pl_closed_user,passby_user,release_user,size_user,star_package,fork_package,contributor_package,issue_new_package,issue_closed_package,pl_new_package,pl_closed_package,passby_package,release_package,size_package,total_change,perfective_change,corrective_change,features_change,nonfunctional_change,unknown_change,possible_vuln,cve
lablup/backend.ai-client-py,aio-libs/aiohttp,False,798,0,0,6,0,0,21,22,0,5,51,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
SymphonyPlatformSolutions/symphony-api-client-python,aio-libs/aiohttp,True,86,0,2,5,0,0,16,16,2,3,26,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
freqtrade/freqtrade,aio-libs/aiohttp,True,2,1116,249,137,146,161,166,171,98,3,90,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
cocrawler/cocrawler,aio-libs/aiohttp,True,11,1,5,1,0,0,2,2,1,0,24,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
source-foundry/fdiff,aio-libs/aiohttp,True,2,1,0,3,0,0,22,21,0,3,33,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
pschmitt/python-liveboxplaytv,aio-libs/aiohttp,True,16,0,0,1,0,0,7,7,0,0,55,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
pypa/bandersnatch,aio-libs/aiohttp,True,2,16,9,17,12,10,78,78,8,0,58,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
parikls/mem_usage_ui,aio-libs/aiohttp,False,798,10,0,3,0,1,1,4,1,3,448,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
beda-software/fhir-py,aio-libs/aiohttp,True,205,10,2,3,1,0,1,0,2,0,24,423,88,260,76,156,308,382,208,5,179,279,14,87,175,1,2,3,0
notadamking/tensortrade,aio-libs/aiohttp,False,797,0,0,0,0,0,0,0,0,0,55,423,88,260,76,156,308,382,208,5,179,21,0,8,12,1,0,0,0
