user_name,package_name,event,days,star_user,fork_user,contributor_user,issue_new_user,pl_new_user,release_user,release_package,cve,is_web,has_cve,star_user_log10,fork_user_log10,contributor_user_log10,issue_new_user_log10,pl_new_user_log10,release_user_log10,release_package_log10
freqtrade/technical,pandas-dev/pandas,1,3,39,8,10,6,17,1,4,0,0,0,1.602059991,0.954242509,1.041392685,0.84509804,1.255272505,0.301029996,0.698970004
freqtrade/technical,pandas-dev/pandas,1,4,20,15,11,8,19,0,2,1,0,1,1.322219295,1.204119983,1.079181246,0.954242509,1.301029996,0,0.477121255
freqtrade/technical,pandas-dev/pandas,1,4,22,6,6,3,9,1,4,0,0,0,1.361727836,0.84509804,0.84509804,0.602059991,1,0.301029996,0.698970004
freqtrade/technical,pandas-dev/pandas,1,4,34,9,13,6,10,0,2,0,0,0,1.544068044,1,1.146128036,0.84509804,1.041392685,0,0.477121255
freqtrade/technical,pandas-dev/pandas,1,5,20,15,11,8,19,0,2,0,0,0,1.322219295,1.204119983,1.079181246,0.954242509,1.301029996,0,0.477121255
freqtrade/technical,pandas-dev/pandas,1,5,72,23,29,17,18,0,3,0,0,0,1.86332286,1.380211242,1.477121255,1.255272505,1.278753601,0,0.602059991
freqtrade/technical,pandas-dev/pandas,1,6,34,11,7,5,16,0,3,0,0,0,1.544068044,1.079181246,0.903089987,0.77815125,1.230448921,0,0.602059991
freqtrade/technical,pandas-dev/pandas,1,6,39,9,6,1,12,0,2,0,0,0,1.602059991,1,0.84509804,0.301029996,1.113943352,0,0.477121255
freqtrade/technical,pandas-dev/pandas,1,6,42,7,14,6,9,0,2,0,0,0,1.633468456,0.903089987,1.176091259,0.84509804,1,0,0.477121255
freqtrade/technical,pandas-dev/pandas,1,6,65,19,17,7,24,2,2,0,0,0,1.819543936,1.301029996,1.255272505,0.903089987,1.397940009,0.477121255,0.477121255
freqtrade/technical,pandas-dev/pandas,1,7,39,9,6,1,12,0,2,0,0,0,1.602059991,1,0.84509804,0.301029996,1.113943352,0,0.477121255
freqtrade/technical,pandas-dev/pandas,1,7,65,19,17,7,24,2,2,0,0,0,1.819543936,1.301029996,1.255272505,0.903089987,1.397940009,0.477121255,0.477121255
